Date,Campaign,Budget,Clicks,Conversion_Rate,Revenue
2021-01-24,TikTok,9088.0,2053.0,8.0,20400.0
2020-11-11,YouTube,5746.0,1936.0,4.7,48581.0
2020-12-07,Instagram,4563.0,1400.0,5.2,23169.0
2021-01-05,TikTok,8450.0,2340.0,4.9,44447.0
2021-01-15,YouTube,6579.5,2267.0,7.2,27810.0
2021-01-24,Facebook,5100.0,1441.0,4.0,21507.0
2021-01-21,YouTube,5273.0,1457.0,4.8,24901.0
2021-01-19,Instagram,5667.0,2307.0,6.4,36270.0
2020-12-13,YouTube,8002.0,1414.0,7.6,45725.0
2020-11-12,Facebook,4756.0,2199.0,5.4,27066.0
2020-12-01,Facebook,4029.0,1583.0,7.0,38876.0
2021-01-26,Instagram,5323.0,2418.0,5.5,41123.0
2020-12-10,TikTok,8594.0,919.0,4.0,48967.0
2020-11-29,Google Ads,8469.0,973.0,7.3,37087.0
2020-11-26,YouTube,5213.0,1736.5,4.1,28101.0
2020-11-19,Instagram,4326.0,1632.0,4.4,26176.0
2020-11-04,Facebook,6897.0,2497.0,6.0,46662.0
2020-11-06,TikTok,9084.0,2434.0,4.2,48470.0
2020-12-02,Google Ads,5331.0,1262.0,7.5,18812.0
2021-01-30,Google Ads,6721.0,1743.0,7.1,46313.0
2020-12-31,Google Ads,6185.0,1226.0,5.45,21542.0
2021-01-18,TikTok,4317.0,1863.0,4.5,44757.0
2020-11-10,TikTok,6864.0,1525.0,7.2,46551.0
2020-12-29,Google Ads,5826.0,948.0,6.5,31056.0
2020-12-24,TikTok,6282.0,1042.0,7.9,27146.0
2021-01-20,Instagram,9255.0,1943.0,5.3,45645.0
2021-01-13,YouTube,6712.0,956.0,4.0,49798.0
2020-11-25,Instagram,5462.0,2089.0,7.8,26698.0
2021-01-29,Facebook,4888.0,2121.0,5.5,41872.0
